AKJ.J865.972.J65$T86542.T4.T4.973$Q73.9.KQJ863.KQ4$9.AKQ732.A5.AT82 || E:pass.♣_1.pass.NT_2.pass.♣_3.pass.pass.pass
83.87.8432.AJT73$K975.32.JT76.KQ6$AJT42.AKJT64.A.2$Q6.Q95.KQ95.9854 || W:♦_1.♥_1.pass.NT_1.pass.♣_2.pass.pass.pass
AJ9.AKJ654.972.4$QT6.T7.K6.AKQJ65$K432.82.T854.832$875.Q93.AQJ3.T97 || W:pass.pass.pass.pass
AJ952.A86.62.AJ3$Q8764.4.85.KQ752$T3.KQJ32.JT973.8$K.T975.AKQ4.T964 || S:pass.pass.pass.pass
K92.T.AK532.J752$A87.A9732.QT97.Q$QT53.KQJ85.J.A43$J64.64.864.KT986 || S:♥_1.pass.♦_2.pass.NT_2.pass.♣_3.pass.pass.pass
A4.T742.QJ653.Q4$T7.Q863.KT7.K962$K82.AKJ9.A842.T8$QJ9653.5.9.AJ753 || S:NT_1.pass.♣_2.pass.pass.pass
985.AQJ6542.KJ.T$KJ2.9.A95.A98763$T764.K3.QT832.52$AQ3.T87.764.KQJ4 || N:pass.pass.pass.pass
7.AQT74.75.A6432$AKQJT64.83.K842.$82.KJ2.AJT3.KJ98$953.965.Q96.QT75 || W:pass.pass.pass.pass
KT642.J73.QT.AT8$AJ9.K52.A9863.64$75.QT984.K42.KQ7$Q83.A6.J75.J9532 || W:pass.♣_1.pass.pass.pass
J5.AJT8.QJT64.64$K82.K6.952.97532$QT94.9752.A87.QJ$A763.Q43.K3.AKT8 || S:pass.pass.pass.pass
A52.Q87.KQ3.Q873$Q976.J43.T95.KJ2$KT843.9652.A62.5$J.AKT.J874.AT964 || N:pass.pass.pass.pass
J2.KT952.62.KJ94$KT85.3.QT873.AQ7$764.J76.AK54.632$AQ93.AQ84.J9.T85 || N:pass.pass.pass.pass
J5.KQJ.97642.AQ9$A32.AT.AKQ.KT743$KQT964.87643.5.8$87.952.JT83.J652 || N:pass.pass.pass.pass
K752.A9865.9.KQ4$JT96.Q32.Q3.T972$A4.74.KJ642.J653$Q83.KJT.AT875.A8 || S:pass.pass.pass.pass
Q432.KQ6.K96.Q92$A95.A84.743.AKT7$JT76.52.AQT8.863$K8.JT973.J52.J54 || N:pass.♣_1.pass.NT_2.pass.♣_3.pass.pass.pass
8.A653.KQ973.AK3$KT7.JT874.J64.92$53.92.A82.QJT754$AQJ9642.KQ.T5.86 || N:pass.NT_1.pass.pass.pass
